"AB_category"	"category_description"	"gene"	"gene_description"
"Acid"	""	"eefX"	"Part of eefXABC operon in K. pneumoniae. This gene is absent in the similar efflux system eefABC in other bacteria (such as Enterobacter aerogenes). Comaparative study suggests that it could be a regulator of the EefABC tripartite efflux system. The tripartite efflux system confers measurable ecological benefits in K. pneumoniae with high competition potential on surviving in inorganic acid environments."
"Acid"	""	"eefA"	"A periplasmic intermediate, EefA. Part of the EefXABC operon. The tripartite efflux system confers measurable ecological benefits in K. pneumoniae with high competition potential on surviving in inorganic acid environments."
"Cobalt (Co)"	""	"cnrA"	"Fragment of nccA-like protein"
"Nickel (Ni)"	""	"cnrA"	"Fragment of nccA-like protein"
"Aluminium (Al)"	""	"G2alt"	"The ATPase activity of G2alt requires Mg2+ and Na+ ions, while Zn2+ and Al3+ stimulate the activity, Cd2+ and Ag+ reduces the activity and Li+, Cu2+ and Co2+ inhibits the activity.  "
"Phenanthridine"	""	"hsmR"	"Small multidrug export protein HsmR"
"Acridine"	""	"hsmR"	"Small multidrug export protein HsmR"
"Quaternary Ammonium Compounds (QACs)"	""	"hsmR"	"Small multidrug export protein HsmR"
"Hydrazone"	""	"emrRsm"	"EmrRCABsm operon is negatively regulated by a MarR-type regulator EmrRsm."
"Salicylanilide"	""	"emrRsm"	"EmrRCABsm operon is negatively regulated by a MarR-type regulator EmrRsm."
"Hydrazone"	""	"emrCsm"	"Outer membrane protein EmrCsm. Part of EmrCABsm efflux pump which is a similar pump found in E. coli (EmrCAB) with below 50% amino acid identities.  EmrCsm and EmrAB are essential for the function of the EmrCABsm pump. EmrCABsm pump may have a physiological role in evading naturally produced molecules from the environment or host-derived compounds, rather than in antimicrobial extrusion, allowing S. maltophilia to survive in its ecological niche. It can confer resistance to hydrophobic antibiotics nalidixic acid and erythromycin. "
"Salicylanilide"	""	"emrCsm"	"Outer membrane protein EmrCsm. Part of EmrCABsm efflux pump which is a similar pump found in E. coli (EmrCAB) with below 50% amino acid identities.  EmrCsm and EmrAB are essential for the function of the EmrCABsm pump. EmrCABsm pump may have a physiological role in evading naturally produced molecules from the environment or host-derived compounds, rather than in antimicrobial extrusion, allowing S. maltophilia to survive in its ecological niche. It can confer resistance to hydrophobic antibiotics nalidixic acid and erythromycin. "
"Hydrazone"	""	"emrAsm"	"Part of EmrCABsm efflux pump which is a similar pump found in E. coli (EmrCAB) with below 50% amino acid identities. EmrCsm and EmrAB are essential for the function of the EmrCABsm pump. EmrCABsm pump may have a physiological role in evading naturally produced molecules from the environment or host-derived compounds, rather than in antimicrobial extrusion, allowing S. maltophilia to survive in its ecological niche. It can confer resistance to hydrophobic antibiotics nalidixic acid and erythromycin. "
"Salicylanilide"	""	"emrAsm"	"Part of EmrCABsm efflux pump which is a similar pump found in E. coli (EmrCAB) with below 50% amino acid identities. EmrCsm and EmrAB are essential for the function of the EmrCABsm pump. EmrCABsm pump may have a physiological role in evading naturally produced molecules from the environment or host-derived compounds, rather than in antimicrobial extrusion, allowing S. maltophilia to survive in its ecological niche. It can confer resistance to hydrophobic antibiotics nalidixic acid and erythromycin. "
"Hydrazone"	""	"emrBsm"	"Part of EmrCABsm efflux pump which is a similar pump found in E. coli (EmrCAB) with below 50% amino acid identities. EmrCsm and EmrAB are essential for the function of the EmrCABsm pump. EmrCABsm pump may have a physiological role in evading naturally produced molecules from the environment or host-derived compounds, rather than in antimicrobial extrusion, allowing S. maltophilia to survive in its ecological niche. It can confer resistance to hydrophobic antibiotics nalidixic acid and erythromycin. "
"Salicylanilide"	""	"emrBsm"	"Part of EmrCABsm efflux pump which is a similar pump found in E. coli (EmrCAB) with below 50% amino acid identities. EmrCsm and EmrAB are essential for the function of the EmrCABsm pump. EmrCABsm pump may have a physiological role in evading naturally produced molecules from the environment or host-derived compounds, rather than in antimicrobial extrusion, allowing S. maltophilia to survive in its ecological niche. It can confer resistance to hydrophobic antibiotics nalidixic acid and erythromycin. "
"Mercury (Hg)"	""	"merH"	"Mercuric ion transport protein, MerH"
"Polyethylene glycol"	""	"mtrE"	"Antibiotic resistance efflux pump component ; Outer membrane protein mtrE; part of MtrCDE efflux pump"
"Acid"	""	"mtrE"	"Antibiotic resistance efflux pump component ; Outer membrane protein mtrE; part of MtrCDE efflux pump"
"Polyethylene glycol"	""	"mtrF"	"Antibiotic resistance efflux pump component mtrF;  inner membrane protein"
"Chromium (Cr)"	""	"ruvB"	"It is a fragment of ruvB gene product. It is a oxidoreductase from malic enzyme family."
"Quaternary Ammonium Compounds (QACs)"	""	"ruvB"	"It is a fragment of ruvB gene product. It is a oxidoreductase from malic enzyme family."
"Acetate"	""	"ruvB"	"It is a fragment of ruvB gene product. It is a oxidoreductase from malic enzyme family."
"imidazole"	""	"ruvB"	"It is a fragment of ruvB gene product. It is a oxidoreductase from malic enzyme family."
"Chromium (Cr)"	""	"recG"	"fragment of the recG helicase."
"Arsenic (As)"	""	"arsP"	"arsenic resistance membrane permease"
"Arsenic (As)"	""	"acr3"	"Arsenical-resistance membrane transporter; part of the an arsenic (ars) four-gene operon, containing genes encoding a putative membrane permease (ArsP), a transcriptional repressor (ArsR), an arsenate reductase (ArsC) and an arsenical-resistance membrane transporter (Acr3)"
"Chromium (Cr)"	""	"oscA"	"oscA gene involved in the sulphur starvation response and in Cr(VI) resistance in Pseudomonas corrugata 28. oscA is located upstream of a gene cluster that encodes the components of the sulphate ABC transporter, and it forms a single transcriptional unit with sbp, which encodes the periplasmic sulphate-binding protein. It has been shown that oscA is essential for the utilization of various organosulphur compounds and that it induces upregulation of the cysTWA operon under conditions of chromate exposure. oscA may also have a regulatory role in the sulphur starvation response, but the exact mechanism through which it acts is not well understood."
"Acetate"	""	"oscA"	"oscA gene involved in the sulphur starvation response and in Cr(VI) resistance in Pseudomonas corrugata 28. oscA is located upstream of a gene cluster that encodes the components of the sulphate ABC transporter, and it forms a single transcriptional unit with sbp, which encodes the periplasmic sulphate-binding protein. It has been shown that oscA is essential for the utilization of various organosulphur compounds and that it induces upregulation of the cysTWA operon under conditions of chromate exposure. oscA may also have a regulatory role in the sulphur starvation response, but the exact mechanism through which it acts is not well understood."
"Acid"	""	"hefA"	"Outer-membrane protein of the HefABC efflux system HefA; Required for optimal acid stress protection, which is important for survival of enteric bacteria in the acidic environment. Exhibits a chaperone-like activity only at pH below 3 by suppressing non-specifically the aggregation of denaturated periplasmic proteins. Also promotes the solubilization at neutral pH of proteins that had aggregated in their presence at acidic pHs. May cooperate with other periplasmic chaperones such as DegP and SurA"
"Acid"	""	"hefC"	"Cytoplasmic pump protein of the HefABC efflux system HefC"
"Azin"	""	"adeN"	"Repressor of AdeIJK expression"
"Acridine"	""	"adeN"	"Repressor of AdeIJK expression"
"Xanthene"	""	"adeN"	"Repressor of AdeIJK expression"
"Organo-sulfate"	""	"adeN"	"Repressor of AdeIJK expression"
"Nickel (Ni)"	""	"nczA"	"Nickel-cobalt-zinc resistance protein nczA; part of the nczCBA operon; The nczCBA operon is induced maximally by Ni2+ and Co2+, moderately by Zn2+ but not by Cd2+. NczCBA transports Ni2+ Co2+ and probably Zn2+"
"Cobalt (Co)"	""	"nczA"	"Nickel-cobalt-zinc resistance protein nczA; part of the nczCBA operon; The nczCBA operon is induced maximally by Ni2+ and Co2+, moderately by Zn2+ but not by Cd2+. NczCBA transports Ni2+ Co2+ and probably Zn2+"
"Zinc (Zn)"	""	"nczA"	"Nickel-cobalt-zinc resistance protein nczA; part of the nczCBA operon; The nczCBA operon is induced maximally by Ni2+ and Co2+, moderately by Zn2+ but not by Cd2+. NczCBA transports Ni2+ Co2+ and probably Zn2+"
"Copper (Cu)"	""	"ycnJ"	"Involved in uptake of extracellular oxidized copper under copper-limiting conditions. Highly induced under copper-limiting conditions. Down-regulated by YcnK, especially under high copper concentrations. Down-regulated by CsoR. Cells lacking this gene show a growth-defective phenotype under copper deprivation as well as a reduced intracellular content of copper."
"Phenanthridine"	""	"emhB"	"Protein export membrane protein emhB"
"Triarylmethane"	""	"emhB"	"Protein export membrane protein emhB"
"Organo-sulfate"	""	"emhB"	"Protein export membrane protein emhB"
"Acridine"	""	"amvA"	"MFS efflux pump, AmvA (AedF). Mediates drugs, dyes, detergents, antibiotic and disinfectant resistance"
"Biguanides"	""	"amvA"	"MFS efflux pump, AmvA (AedF). Mediates drugs, dyes, detergents, antibiotic and disinfectant resistance"
"Paraquat"	""	"amvA"	"MFS efflux pump, AmvA (AedF). Mediates drugs, dyes, detergents, antibiotic and disinfectant resistance"
"Quaternary Ammonium Compounds (QACs)"	""	"amvA"	"MFS efflux pump, AmvA (AedF). Mediates drugs, dyes, detergents, antibiotic and disinfectant resistance"
"Phenanthridine"	""	"amvA"	"MFS efflux pump, AmvA (AedF). Mediates drugs, dyes, detergents, antibiotic and disinfectant resistance"
"Acid"	""	"amvA"	"MFS efflux pump, AmvA (AedF). Mediates drugs, dyes, detergents, antibiotic and disinfectant resistance"
"Peroxides"	""	"cpxA"	"Sensor protein of stress-related two-component regulatory system of CpxAR. It has role in oxidative stress tolerance. It has a  regulatory role on MDR efflux pumps. It can confer resistance to cefepime, cefotaxime, ceftazidime and chloramphenicol which possibly are the preferred substrates of the resistance determinants for e.g. efflux pumps perhaps regulated by the Cpx regulon."
"Quaternary Ammonium Compounds (QACs)"	""	"cpxA"	"Sensor protein of stress-related two-component regulatory system of CpxAR. It has role in oxidative stress tolerance. It has a  regulatory role on MDR efflux pumps. It can confer resistance to cefepime, cefotaxime, ceftazidime and chloramphenicol which possibly are the preferred substrates of the resistance determinants for e.g. efflux pumps perhaps regulated by the Cpx regulon."
"Biguanides"	""	"cpxA"	"Sensor protein of stress-related two-component regulatory system of CpxAR. It has role in oxidative stress tolerance. It has a  regulatory role on MDR efflux pumps. It can confer resistance to cefepime, cefotaxime, ceftazidime and chloramphenicol which possibly are the preferred substrates of the resistance determinants for e.g. efflux pumps perhaps regulated by the Cpx regulon."
"Peroxides"	""	"cpxR"	"Response regulator of stress-related two-component regulatory system. It has role in oxidative stress tolerance. It has a  regulatory role on MDR efflux pumps. It can confer resistance to cefepime, cefotaxime, ceftazidime and chloramphenicol which possibly are the preferred substrates of the resistance determinants for e.g. efflux pumps perhaps regulated by the Cpx regulon."
"Quaternary Ammonium Compounds (QACs)"	""	"cpxR"	"Response regulator of stress-related two-component regulatory system. It has role in oxidative stress tolerance. It has a  regulatory role on MDR efflux pumps. It can confer resistance to cefepime, cefotaxime, ceftazidime and chloramphenicol which possibly are the preferred substrates of the resistance determinants for e.g. efflux pumps perhaps regulated by the Cpx regulon."
"Biguanides"	""	"cpxR"	"Response regulator of stress-related two-component regulatory system. It has role in oxidative stress tolerance. It has a  regulatory role on MDR efflux pumps. It can confer resistance to cefepime, cefotaxime, ceftazidime and chloramphenicol which possibly are the preferred substrates of the resistance determinants for e.g. efflux pumps perhaps regulated by the Cpx regulon."
"Peroxides"	""	"oxyRkp"	"Activator of hydrogen peroxide-inducible genes. It has contributory role towards varied stress tolerance in K. pneumoniae."
"Acid"	""	"oxyRkp"	"Activator of hydrogen peroxide-inducible genes. It has contributory role towards varied stress tolerance in K. pneumoniae."
"Acridine"	""	"oxyRkp"	"Activator of hydrogen peroxide-inducible genes. It has contributory role towards varied stress tolerance in K. pneumoniae."
"Xanthene"	""	"oxyRkp"	"Activator of hydrogen peroxide-inducible genes. It has contributory role towards varied stress tolerance in K. pneumoniae."
"Phenanthridine"	""	"oxyRkp"	"Activator of hydrogen peroxide-inducible genes. It has contributory role towards varied stress tolerance in K. pneumoniae."
"Organo-sulfate"	""	"oxyRkp"	"Activator of hydrogen peroxide-inducible genes. It has contributory role towards varied stress tolerance in K. pneumoniae."
"Quaternary Ammonium Compounds (QACs)"	""	"phoR"	"Part of the two-component regulatory system PhoBR. It regulates kpnO in K. pneumoniae. It has a role in role in capsule production and bacterial growth in K. pneumoniae. It has no role in oxidative stress tolerance and nitrostative stress tolernace, but in gastrointestinal like challenges."
"Biguanides"	""	"phoR"	"Part of the two-component regulatory system PhoBR. It regulates kpnO in K. pneumoniae. It has a role in role in capsule production and bacterial growth in K. pneumoniae. It has no role in oxidative stress tolerance and nitrostative stress tolernace, but in gastrointestinal like challenges."
"Quaternary Ammonium Compounds (QACs)"	""	"phoB"	"Part of the two-component regulatory system PhoBR. It regulates kpnO in K. pneumoniae. It has a role in role in capsule production and bacterial growth in K. pneumoniae. It has no role in oxidative stress tolerance and nitrostative stress tolernace, but in gastrointestinal like challenges. (NB: THIS GENE IS MORE LIKELY TO BE 'PhoP' THOUGH AUTHORS MENTIONED IT AS 'PhoB'. THE SYSTEM MIGHT BE 'PhoPQ' INSTEAD OF 'PhoBR'.)"
"Biguanides"	""	"phoB"	"Part of the two-component regulatory system PhoBR. It regulates kpnO in K. pneumoniae. It has a role in role in capsule production and bacterial growth in K. pneumoniae. It has no role in oxidative stress tolerance and nitrostative stress tolernace, but in gastrointestinal like challenges. (NB: THIS GENE IS MORE LIKELY TO BE 'PhoP' THOUGH AUTHORS MENTIONED IT AS 'PhoB'. THE SYSTEM MIGHT BE 'PhoPQ' INSTEAD OF 'PhoBR'.)"
"Organo-sulfate"	""	"kpnE"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin. "
"Acid"	""	"kpnE"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin. "
"Quaternary Ammonium Compounds (QACs)"	""	"kpnE"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin. "
"Biguanides"	""	"kpnE"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin. "
"Phenolic compounds"	""	"kpnE"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin. "
"Paraquat"	""	"kpnE"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin. "
"Peroxides"	""	"kpnE"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin. "
"Organo-sulfate"	""	"kpnF"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin"
"Acid"	""	"kpnF"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin"
"Quaternary Ammonium Compounds (QACs)"	""	"kpnF"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin"
"Biguanides"	""	"kpnF"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin"
"Phenolic compounds"	""	"kpnF"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin"
"Paraquat"	""	"kpnF"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin"
"Peroxides"	""	"kpnF"	"KpnEF is a EbrAB homolog. kpnEF is involved in oxidative stress tolerance, nitrosative stress tolerance, heat stress tolerance, osmotic stress toerance etc. in Klebsiella pneumoniae. It can confer resistance to antibiotics such as cefepime, ceftriaxone, colistin, erythromycin, rifamycin, tetracycline and streptomycin"
"Acridine"	""	"kmrA"	"It can confer resistance to Antibiotics such as kanamycin, gentamycin, erythromycin etc. "
"Diamindine"	""	"kmrA"	"It can confer resistance to Antibiotics such as kanamycin, gentamycin, erythromycin etc. "
"Bisbenzimide"	""	"kmrA"	"It can confer resistance to Antibiotics such as kanamycin, gentamycin, erythromycin etc. "
"Quaternary Ammonium Compounds (QACs)"	""	"kmrA"	"It can confer resistance to Antibiotics such as kanamycin, gentamycin, erythromycin etc. "
"Paraquat"	""	"kmrA"	"It can confer resistance to Antibiotics such as kanamycin, gentamycin, erythromycin etc. "
"Phenanthridine"	""	"kmrA"	"It can confer resistance to Antibiotics such as kanamycin, gentamycin, erythromycin etc. "
"Peroxides"	""	"kpnO"	"KpnO codes for a outer membrane porin. kpnO mediates antibiotic resistance via efflux mechanism and contributes towards disinfectant tolerance. It has a role in oxidative stress tolerance and nitrostative stress tolernace. KpnO also contributes to growth and gastrointestinal stress tolerance in K. pneumoniae."
"Hydrazone"	""	"kpnO"	"KpnO codes for a outer membrane porin. kpnO mediates antibiotic resistance via efflux mechanism and contributes towards disinfectant tolerance. It has a role in oxidative stress tolerance and nitrostative stress tolernace. KpnO also contributes to growth and gastrointestinal stress tolerance in K. pneumoniae."
"Quaternary Ammonium Compounds (QACs)"	""	"kpnO"	"KpnO codes for a outer membrane porin. kpnO mediates antibiotic resistance via efflux mechanism and contributes towards disinfectant tolerance. It has a role in oxidative stress tolerance and nitrostative stress tolernace. KpnO also contributes to growth and gastrointestinal stress tolerance in K. pneumoniae."
"Biguanides"	""	"kpnO"	"KpnO codes for a outer membrane porin. kpnO mediates antibiotic resistance via efflux mechanism and contributes towards disinfectant tolerance. It has a role in oxidative stress tolerance and nitrostative stress tolernace. KpnO also contributes to growth and gastrointestinal stress tolerance in K. pneumoniae."
"Nitrites"	""	"kpnO"	"KpnO codes for a outer membrane porin. kpnO mediates antibiotic resistance via efflux mechanism and contributes towards disinfectant tolerance. It has a role in oxidative stress tolerance and nitrostative stress tolernace. KpnO also contributes to growth and gastrointestinal stress tolerance in K. pneumoniae."
"Copper (Cu)"	""	"copR"	"Member of the two-component regulatory system CopS/CopR. May also be involved in basic copper metabolism. Expression of copCD is regulated directly by the two-component response regulator CopR, which also regulates its own expression in Pseudomonas fluorescens."
"Copper (Cu)"	""	"copS"	"Member of the two-component regulatory system CopS/CopR. May also be involved in basic copper metabolism."
"Copper (Cu)"	""	"copC"	"Copper ion binding protein copC. Part of the copRSCD cluster required for full copper resistance and regulated at the transcription level by Cu in Pseudomonas fluorescens. Expression of copCD is regulated directly by the two-component response regulator CopR, which also regulates its own expression in Pseudomonas fluorescens."
"Copper (Cu)"	""	"copD"	"Part of the copRSCD cluster required for full copper resistance and regulated at the transcription level by Cu in Pseudomonas fluorescens. Expression of copCD is regulated directly by the two-component response regulator CopR, which also regulates its own expression in Pseudomonas fluorescens."
"Quaternary Ammonium Compounds (QACs)"	""	"adeT1"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, tetracycline etc. "
"Acridine"	""	"adeT1"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, tetracycline etc. "
"Xanthene"	""	"adeT1"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, tetracycline etc. "
"Paraquat"	""	"adeT1"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, tetracycline etc. "
"Diamindine"	""	"adeT1"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, tetracycline etc. "
"Organo-sulfate"	""	"adeT1"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, tetracycline etc. "
"Acid"	""	"adeT1"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, tetracycline etc. "
"QAC-Glutaraldehyde"	""	"adeT1"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, tetracycline etc. "
