AB_category	sample	sum_abund	country	rank	max_rank
beta-lactam	185_210_20111102_FRAG_BC_185_210_F3_191	1.04592934146246e-07	RUS	0.529296875	512
beta-lactam	SRR413733merged	4.40402760444426e-07	CHN	0.912109375	512
beta-lactam	Tomsk_2014_02_28_1_L01_08_50trimmed_T_F3	3.20444754479404e-08	RUS_HOBL	0.244140625	512
beta-lactam	SRR413721merged	1.93806792716106e-07	CHN	0.703125	512
beta-lactam	BC_9_16_20111003_FRAG_BC_BC_1_8_20111003_F3_98	4.684949014999e-09	RUS	0.072265625	512
beta-lactam	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_316	3.31894315898493e-09	RUS	0.060546875	512
beta-lactam	MH0063_090126	1.05758851859906e-09	EUR	0.025390625	512
beta-lactam	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_313	8.78814596673987e-08	RUS	0.490234375	512
beta-lactam	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_T19	5.29035437551753e-08	RUS_HOBL	0.34765625	512
beta-lactam	MH0010_081120	5.93601915246279e-08	EUR	0.3828125	512
beta-lactam	MH0070_090125	1.56329309328746e-09	EUR	0.0390625	512
beta-lactam	232_250_20111116_FRAG_BC_232_250_F3_250	3.51047120000235e-07	RUS	0.875	512
beta-lactam	61_106_20121101_FRAG_BC_61_106_F3_98	5.01200414917172e-09	RUS	0.076171875	512
beta-lactam	SRR413623merged	3.20335940521171e-08	CHN	0.2421875	512
beta-lactam	MH0077_090130	1.60236672508087e-08	EUR	0.158203125	512
beta-lactam	BC_9_16_20111003_FRAG_BC_BC_1_8_20111003_F3_89	2.48581494832946e-07	RUS	0.765625	512
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_1P	2.64066104896578e-07	RUS	0.791015625	512
beta-lactam	SRR413759merged	8.18462626459328e-07	CHN	0.978515625	512
beta-lactam	SRR413613merged	5.37081805228782e-08	CHN	0.353515625	512
beta-lactam	SRR413718merged	7.54856591099096e-08	CHN	0.4453125	512
beta-lactam	SRR413752merged	3.83641938095297e-08	CHN	0.28125	512
beta-lactam	Tomsk_2014_02_28_1_L01_07_50trimmed_T_F3	1.74173436462411e-07	RUS_HOBL	0.66796875	512
beta-lactam	222_257_20111020_FRAG_BC_222_257_F3_222	1.13849926440824e-08	RUS	0.125	512
beta-lactam	SRR413709merged	3.47102821778654e-08	CHN	0.2578125	512
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_43P	1.66597384605416e-07	RUS	0.658203125	512
beta-lactam	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_T25	2.2752815896427e-08	RUS_HOBL	0.203125	512
beta-lactam	solid0717_20101126_FRAG_BC_1_Barcoded_pool_F3_Lib_40	5.94284230950815e-07	RUS	0.951171875	512
beta-lactam	Spb_9_16_20110305_FRAG_BC_Spb_9_16_F3_63	3.91053393135588e-07	RUS	0.888671875	512
beta-lactam	MH0047_081223	2.42020406255027e-09	EUR	0.052734375	512
beta-lactam	SRR413705merged	9.17126100551936e-08	CHN	0.49609375	512
beta-lactam	SRR413638merged	4.87501577223589e-07	CHN	0.923828125	512
beta-lactam	solid0717_20101126_FRAG_BC_1_Barcoded_pool_F3_Lib_41	6.29557755525989e-07	RUS	0.9609375	512
beta-lactam	SRR413569merged	1.16337590414743e-07	CHN	0.5625	512
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_16P	2.75494683487126e-07	RUS	0.802734375	512
beta-lactam	kazan5500_2014_03_31_1_L02_59BR_50trimmed_T_F3	1.51186286111925e-08	RUS_HOBL	0.146484375	512
beta-lactam	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_Br05	2.14380598514149e-08	RUS_HOBL	0.1875	512
beta-lactam	261_268_20111115_FRAG_BC_261_268_F3_266	5.52635077414758e-09	RUS	0.083984375	512
beta-lactam	261_268_20111115_FRAG_BC_261_268_F3_261	1.71632843815103e-08	RUS	0.16796875	512
beta-lactam	Sh_260_20111020_FRAG_BC_Sh_260_F3_260	3.32095289778635e-09	RUS	0.0625	512
beta-lactam	SRR413557merged	4.60555329923282e-08	CHN	0.3125	512
beta-lactam	261_268_20111115_FRAG_BC_261_268_F3_267	8.47471786445841e-08	RUS	0.470703125	512
beta-lactam	202_209_20111028_FRAG_BC_202_209_F3_209	1.38893221994734e-08	RUS	0.140625	512
beta-lactam	MH0064_090126	2.0946695590964e-07	EUR	0.72265625	512
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_45P	1.12391363943653e-07	RUS	0.55078125	512
beta-lactam	61_106_20121101_FRAG_BC_61_106_F3_101	4.80950584647612e-07	RUS	0.921875	512
beta-lactam	61_106_20121101_FRAG_BC_61_106_F3_74	2.52627845779273e-07	RUS	0.775390625	512
beta-lactam	SRR413636merged	4.70494359830813e-07	CHN	0.916015625	512
beta-lactam	MH0035_081223	6.32920645063962e-10	EUR	0.013671875	512
beta-lactam	Tomsk_2014_02_28_1_L02_L03_merg_28_50trimmed_T_F3	2.23143621333137e-07	RUS_HOBL	0.7421875	512
beta-lactam	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_T18	2.84486362396552e-06	RUS_HOBL	0.998046875	512
beta-lactam	SRR413598merged	5.86491979936057e-08	CHN	0.37890625	512
beta-lactam	222_257_20111020_FRAG_BC_222_257_F3_229	1.67629100202723e-08	RUS	0.1640625	512
beta-lactam	SRR413591merged	6.02384500492533e-08	CHN	0.392578125	512
beta-lactam	SRR413758merged	1.80380388060259e-07	CHN	0.67578125	512
beta-lactam	SRR413617merged	2.4358809091677e-08	CHN	0.2109375	512
beta-lactam	Spb_9_16_20110305_FRAG_BC_Spb_9_16_F3_62	2.05990627052338e-07	RUS	0.71484375	512
beta-lactam	MH0018_081119	2.49053492411177e-07	EUR	0.76953125	512
beta-lactam	kazan5500_2014_03_31_1_L01_23BR_50trimmed_T_F3	4.32220453900196e-08	RUS_HOBL	0.298828125	512
beta-lactam	SRR413614merged	1.15432414282882e-08	CHN	0.12890625	512
beta-lactam	MH0013_081120	1.02720356703985e-08	EUR	0.12109375	512
beta-lactam	MH0075_090125	5.94683782786922e-08	EUR	0.384765625	512
beta-lactam	211_251_20111102_FRAG_BC_211_251_F3_215	6.87133799609042e-08	RUS	0.421875	512
beta-lactam	SRR413769merged	2.5145887191726e-07	CHN	0.7734375	512
beta-lactam	202_209_20111028_FRAG_BC_202_209_F3_204	1.13040080867461e-07	RUS	0.552734375	512
beta-lactam	SRR413713merged	2.0909767001491e-07	CHN	0.71875	512
beta-lactam	202_209_20111028_FRAG_BC_202_209_F3_205	4.61582295306944e-08	RUS	0.314453125	512
beta-lactam	185_210_20111102_FRAG_BC_185_210_F3_192	1.61419017649775e-07	RUS	0.65234375	512
beta-lactam	185_210_20111102_FRAG_BC_185_210_F3_190	1.88589186773451e-07	RUS	0.697265625	512
beta-lactam	Tomsk_2014_02_28_1_L02_L03_merg_32_50trimmed_T_F3	3.36639837836168e-07	RUS_HOBL	0.86328125	512
beta-lactam	222_257_20111020_FRAG_BC_222_257_F3_230	5.03735781850238e-08	RUS	0.333984375	512
beta-lactam	MH0062_090104	1.5793943225527e-08	EUR	0.15625	512
beta-lactam	211_251_20111102_FRAG_BC_211_251_F3_216	1.80587090294973e-07	RUS	0.677734375	512
beta-lactam	MH0056_090125	1.21125549823049e-07	EUR	0.576171875	512
beta-lactam	Spb_9_16_20110305_FRAG_BC_Spb_9_16_F3_67	3.3077593282121e-08	RUS	0.25390625	512
beta-lactam	MH0061_090126	6.90598124877528e-08	EUR	0.423828125	512
beta-lactam	MH0081_090130	6.75271498152648e-10	EUR	0.015625	512
beta-lactam	SRR413576merged	2.8895026816321e-07	CHN	0.8203125	512
beta-lactam	SRR413608merged	1.55521514482253e-08	CHN	0.150390625	512
beta-lactam	MH0086_090325	2.30305826321025e-08	EUR	0.205078125	512
beta-lactam	MH0020_090120	4.51196825116361e-10	EUR	0.01171875	512
beta-lactam	SRR413624merged	2.99647343947171e-07	CHN	0.8359375	512
beta-lactam	MH0074_090125	1.91551548116221e-07	EUR	0.69921875	512
beta-lactam	Spb_9_16_20110305_FRAG_BC_Spb_9_16_F3_71	8.24612741989318e-08	RUS	0.46484375	512
beta-lactam	Tomsk_2014_02_28_1_L02_L03_merg_35_50trimmed_T_F3	2.98717664346672e-07	RUS_HOBL	0.83203125	512
beta-lactam	232_250_20111116_FRAG_BC_232_250_F3_232	1.87287449532578e-07	RUS	0.693359375	512
beta-lactam	SRR413760merged	3.56662868941747e-08	CHN	0.263671875	512
beta-lactam	61_106_20121101_FRAG_BC_61_106_F3_70	4.19561127588898e-07	RUS	0.908203125	512
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_38P	7.06711447704866e-09	RUS	0.099609375	512
beta-lactam	61_106_20121101_FRAG_BC_61_106_F3_76	9.3926551399094e-07	RUS	0.984375	512
beta-lactam	SRR413556merged	1.81087730994095e-07	CHN	0.6796875	512
beta-lactam	MH0032_090121	1.82153733303444e-07	EUR	0.681640625	512
beta-lactam	61_106_20121101_FRAG_BC_61_106_F3_73	2.30877451478727e-07	RUS	0.74609375	512
beta-lactam	61_106_20121101_FRAG_BC_61_106_F3_105	9.35460328513394e-08	RUS	0.501953125	512
beta-lactam	Sh_260_20111020_FRAG_BC_Sh_260_F3_256	6.86771706399308e-08	RUS	0.419921875	512
beta-lactam	61_106_20121101_FRAG_BC_61_106_F3_100	1.52729641860856e-07	RUS	0.62890625	512
beta-lactam	Tomsk_2014_02_28_1_L02_L03_merg_40_50trimmed_T_F3	2.64452225792664e-07	RUS_HOBL	0.79296875	512
beta-lactam	185_210_20111102_FRAG_BC_185_210_F3_185	8.61270075439224e-07	RUS	0.982421875	512
beta-lactam	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_T24	2.71981470955072e-07	RUS_HOBL	0.798828125	512
beta-lactam	MH0003_090107	9.61743333308929e-08	EUR	0.509765625	512
beta-lactam	MH0083_090126	3.27106831073637e-08	EUR	0.248046875	512
beta-lactam	SRR413620merged	1.02704658799719e-07	CHN	0.525390625	512
beta-lactam	SRR413600merged	1.13752636199261e-07	CHN	0.556640625	512
beta-lactam	SRR413577merged	2.84359305229208e-07	CHN	0.8125	512
beta-lactam	MH0039_081226	1.70122705458527e-08	EUR	0.166015625	512
beta-lactam	105_117_3_20111028_FRAG_BC_105_117_3_F3_106	1.43804832177189e-07	RUS	0.6171875	512
beta-lactam	Tomsk_2014_02_28_1_L01_09_50trimmed_T_F3	6.7784586291733e-07	RUS_HOBL	0.966796875	512
beta-lactam	105_117_3_20111028_FRAG_BC_105_117_3_F3_105	6.75050084876463e-08	RUS	0.4140625	512
beta-lactam	MH0030_090121	2.21205027505894e-08	EUR	0.19921875	512
beta-lactam	261_268_20111115_FRAG_BC_261_268_F3_264	2.18040646218025e-08	RUS	0.193359375	512
beta-lactam	61_106_20121101_FRAG_BC_61_106_F3_66	1.62306627876729e-07	RUS	0.654296875	512
beta-lactam	MH0017_081119	3.62303820443794e-09	EUR	0.06640625	512
beta-lactam	232_250_20111116_FRAG_BC_232_250_F3_249	4.92089030346866e-08	RUS	0.326171875	512
beta-lactam	232_250_20111116_FRAG_BC_232_250_F3_236	1.04897534368226e-07	RUS	0.53125	512
beta-lactam	202_209_20111028_FRAG_BC_202_209_F3_202	1.56112089133251e-08	RUS	0.154296875	512
beta-lactam	SRR413595merged	6.22558547243813e-07	CHN	0.95703125	512
beta-lactam	SRR413604merged	7.84516097468515e-08	CHN	0.45703125	512
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_14P	2.73532181522266e-08	RUS	0.220703125	512
beta-lactam	MH0037_090122	4.05714997054925e-08	EUR	0.287109375	512
beta-lactam	SRR413599merged	4.06423624903038e-08	CHN	0.2890625	512
beta-lactam	MH0026_081224	1.53717971894302e-07	EUR	0.630859375	512
beta-lactam	Tomsk_2014_02_28_1_L02_L03_merg_34_50trimmed_T_F3	9.11758844010077e-09	RUS_HOBL	0.115234375	512
beta-lactam	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_10P	3.31733003537429e-07	RUS	0.859375	512
beta-lactam	SRR413734merged	1.37010540158969e-07	CHN	0.609375	512
beta-lactam	MH0059_090105	1.80391482546916e-08	EUR	0.171875	512
beta-lactam	77_Omsk_20120215_FRAG_BC_77_Omsk_F3_182	2.07856655819249e-07	RUS	0.716796875	512
beta-lactam	kazan5500_2014_03_31_1_L03_43BR_50trimmed_T_F3	3.28902604474362e-07	RUS_HOBL	0.85546875	512
beta-lactam	MH0048_081226	1.60587126533055e-08	EUR	0.16015625	512
beta-lactam	MH0084_090126	3.4615212477927e-09	EUR	0.064453125	512
beta-lactam	solid0717_20101126_FRAG_BC_1_Barcoded_pool_F3_Lib_38	2.82831434648919e-08	RUS	0.228515625	512
beta-lactam	MH0067_090126	6.79503117439459e-10	EUR	0.01953125	512
beta-lactam	MH0073_090125	5.43180512585224e-09	EUR	0.08203125	512
beta-lactam	MH0051_081226	6.89889033418642e-09	EUR	0.09765625	512
beta-lactam	280_287_20111115_FRAG_BC_280_287_F3_286	2.20387127476513e-07	RUS	0.734375	512
beta-lactam	Spb_9_16_20110305_FRAG_BC_Spb_9_16_F3_70	4.99029275834998e-07	RUS	0.927734375	512
beta-lactam	222_257_20111020_FRAG_BC_222_257_F3_257	2.53988984692779e-08	RUS	0.21484375	512
beta-lactam	SRR413610merged	2.10316279696322e-08	CHN	0.185546875	512
beta-lactam	SRR413707merged	1.18000727882886e-07	CHN	0.564453125	512
beta-lactam	SRR413773merged	7.62167549684456e-09	CHN	0.1015625	512
beta-lactam	61_106_20121101_FRAG_BC_61_106_F3_61	2.25814642663186e-07	RUS	0.744140625	512
beta-lactam	211_251_20111102_FRAG_BC_211_251_F3_211	4.67798904544568e-08	RUS	0.318359375	512
beta-lactam	261_268_20111115_FRAG_BC_261_268_F3_263	8.26264140776103e-08	RUS	0.466796875	512
beta-lactam	SRR413717merged	8.23924190170187e-08	CHN	0.462890625	512
beta-lactam	202_209_20111028_FRAG_BC_202_209_F3_203	1.32120619183858e-08	RUS	0.134765625	512
beta-lactam	185_210_20111102_FRAG_BC_185_210_F3_194	1.48882827691067e-07	RUS	0.625	512
beta-lactam	SRR413703merged	2.97436362034659e-08	CHN	0.23828125	512
beta-lactam	Sh_260_20111020_FRAG_BC_Sh_260_F3_258	5.54966768347135e-07	RUS	0.943359375	512
beta-lactam	SRR413583merged	6.10685700841614e-08	CHN	0.396484375	512
beta-lactam	Tomsk_2014_02_28_1_L02_L03_merg_26_50trimmed_T_F3	1.67738536415668e-07	RUS_HOBL	0.662109375	512
beta-lactam	Tomsk_2014_02_28_1_L01_15_50trimmed_T_F3	2.4433225653126e-07	RUS_HOBL	0.7578125	512
beta-lactam	Tomsk_2014_02_28_1_L01_12_50trimmed_T_F3	5.38134072989572e-08	RUS_HOBL	0.357421875	512
beta-lactam	Tomsk_2014_02_28_1_L02_L03_merg_33_50trimmed_T_F3	6.63739298175516e-08	RUS_HOBL	0.412109375	512
beta-lactam	MH0007_081123	1.73441963771516e-09	EUR	0.044921875	512
beta-lactam	280_287_20111115_FRAG_BC_280_287_F3_281	2.69338647580095e-08	RUS	0.21875	512
beta-lactam	MH0085_090126	1.66703297653047e-09	EUR	0.04296875	512
beta-lactam	MH0042_090125	3.13490845281579e-09	EUR	0.05859375	512
beta-lactam	Tomsk_2014_02_28_1_L02_L03_merg_31_50trimmed_T_F3	3.75616368875388e-08	RUS_HOBL	0.27734375	512
beta-lactam	SRR413766merged	7.18767770874894e-07	CHN	0.9765625	512
beta-lactam	kazan5500_2014_03_31_1_L02_48BR_50trimmed_T_F3	1.20855007129131e-07	RUS_HOBL	0.572265625	512
beta-lactam	185_210_20111102_FRAG_BC_185_210_F3_193	2.45157538385246e-07	RUS	0.759765625	512
beta-lactam	SRR413592merged	7.41191240898025e-08	CHN	0.435546875	512
beta-lactam	SRR413728merged	7.69367847153172e-08	CHN	0.451171875	512
beta-lactam	MH0025_090121	2.1684356642319e-07	EUR	0.7265625	512
beta-lactam	MH0058_090125	6.67009634826723e-09	EUR	0.09375	512
beta-lactam	222_257_20111020_FRAG_BC_222_257_F3_224	2.62989966143776e-07	RUS	0.787109375	512
beta-lactam	130_179_2_20120514_FRAG_BC_130_179_2_F3_179	4.97911143786597e-08	RUS	0.33203125	512
beta-lactam	211_251_20111102_FRAG_BC_211_251_F3_214	7.20766653746576e-08	RUS	0.43359375	512
beta-lactam	202_209_20111028_FRAG_BC_202_209_F3_206	7.98325122759775e-09	RUS	0.10546875	512
tetracycline derivative	kazan5500_2014_03_31_1_L02_49BR_50trimmed_T_F3	2.82704646464143e-07	RUS_HOBL	0.33852140077821	514
tetracycline derivative	SRS018351	2.1514294626943e-07	USA	0.194552529182879	514
tetracycline derivative	SRS049900	5.31337633454269e-08	USA	0.0136186770428016	514
tetracycline derivative	MH0073_090125	2.83691727942628e-07	EUR	0.340466926070039	514
tetracycline derivative	SRR413707merged	5.77063972621625e-07	CHN	0.8715953307393	514
tetracycline derivative	T1_T16_20140211_FRAG_BC_T1_T16_F3_T11	4.21102555150592e-07	RUS_HOBL	0.692607003891051	514
tetracycline derivative	SRS056259	3.52786492468727e-07	USA	0.527237354085603	514
tetracycline derivative	232_250_20111116_FRAG_BC_232_250_F3_245	3.84099464118519e-07	RUS	0.608949416342412	514
tetracycline derivative	SRR413570merged	5.02210435139314e-07	CHN	0.801556420233463	514
tetracycline derivative	261_268_20111115_FRAG_BC_261_268_F3_263	2.24036262744315e-07	RUS	0.21011673151751	514
tetracycline derivative	202_209_20111028_FRAG_BC_202_209_F3_204	3.86879349717358e-07	RUS	0.616731517509728	514
tetracycline derivative	185_210_20111102_FRAG_BC_185_210_F3_191	4.08135739651899e-07	RUS	0.66147859922179	514
tetracycline derivative	SRS011302	5.99565117522369e-07	USA	0.88715953307393	514
tetracycline derivative	SRR413733merged	4.44383517011114e-07	CHN	0.731517509727626	514
tetracycline derivative	SRR413703merged	3.58389928288508e-07	CHN	0.542801556420233	514
tetracycline derivative	SRR413592merged	2.92831556974146e-07	CHN	0.373540856031128	514
tetracycline derivative	SRR413735merged	3.66374160974159e-07	CHN	0.566147859922179	514
tetracycline derivative	211_251_20111102_FRAG_BC_211_251_F3_214	3.72580192332339e-07	RUS	0.579766536964981	514
tetracycline derivative	solid0717_20101126_FRAG_BC_1_Barcoded_pool_F3_Lib_38	2.88295003231526e-07	RUS	0.356031128404669	514
tetracycline derivative	SRR413638merged	1.40599572812735e-07	CHN	0.0797665369649805	514
tetracycline derivative	SRR413608merged	1.54243564097702e-07	CHN	0.0933852140077821	514
tetracycline derivative	solid0717_20101126_FRAG_BC_1_Barcoded_pool_F3_Lib_41	6.03884080452279e-07	RUS	0.891050583657588	514
tetracycline derivative	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_16P	3.84222412161237e-07	RUS	0.610894941634241	514
tetracycline derivative	SRR413617merged	3.96144850245205e-07	CHN	0.642023346303502	514
tetracycline derivative	SRR413758merged	3.82387252411522e-07	CHN	0.599221789883268	514
tetracycline derivative	SRR413589merged	8.31967394039151e-07	CHN	0.945525291828794	514
tetracycline derivative	SRR413767merged	2.47247097526312e-07	CHN	0.270428015564202	514
tetracycline derivative	105_117_3_20111028_FRAG_BC_105_117_3_F3_106	2.98456695553563e-07	RUS	0.385214007782101	514
tetracycline derivative	280_287_20111115_FRAG_BC_280_287_F3_287	4.65791613235945e-07	RUS	0.764591439688716	514
tetracycline derivative	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_176	5.93016284389753e-07	RUS	0.881322957198444	514
tetracycline derivative	SRR413769merged	3.89635590115873e-07	CHN	0.620622568093385	514
tetracycline derivative	61_106_20121101_FRAG_BC_61_106_F3_69	2.3361059085377e-07	RUS	0.227626459143969	514
tetracycline derivative	SRR413611merged	1.38555215385491e-07	CHN	0.075875486381323	514
tetracycline derivative	SRR413580merged	5.5558911293804e-07	CHN	0.846303501945525	514
tetracycline derivative	SRS015794	1.63451763626353e-07	USA	0.108949416342412	514
tetracycline derivative	SRR413566merged	3.33253853741347e-07	CHN	0.492217898832685	514
tetracycline derivative	SRR413571merged	1.82523644058921e-06	CHN	0.988326848249027	514
tetracycline derivative	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_14P	3.28307958344084e-07	RUS	0.474708171206226	514
